Gospel	ID	Verse number according to Christodouloupoulos and Steedman (2015)	Marker GRC	Marker LA	Context GRC	Context LA	Implicit GRC	Implicit LA	Utterance GRC	Utterance LA	Polarity GRC	Polarity LA	SoA	Dinamicity	Control	Ambiguous modal reading	Modal type	Notional domain	Subtype / degree	Inevitability / prospective	Function	Synoptic
 luke	lk06_02	b.LUK.6.2	ἔξεστι	licet	τινὲς δὲ τῶν Φαρισαίων εἶπαν· τί ποιεῖτε ὃ οὐκ ἔξεστιν τοῖς σάββασιν {ποιῆσαι} ;	quidam autem Pharisaeorum dicebant illis quid facitis quod non licet in sabbatis { facere }	false	false	interrogative	interrogative	negative	negative	true	true	true	false	deontic	authority	permission			sν
 luke	lk06_04	b.LUK.6.4	ἔξεστι	licet	ὡς εἰσῆλθεν εἰς τὸν οἶκον τοῦ θεοῦ καὶ τοὺς ἄρτους τῆς προθέσεως λαβὼν ἔφαγεν καὶ ἔδωκεν τοῖς μετ’ αὐτοῦ, οὓς οὐκ ἔξεστιν φαγεῖν εἰ μὴ μόνους τοὺς ἱερεῖς;	quomodo intravit in domum Dei et panes propositionis sumpsit et manducavit et dedit his qui cum ipso erant quos non licet manducare nisi tantum sacerdotibus	false	false	non-interrogative	non-interrogative	negative	negative	true	true	true	false	deontic	authority	permission			sτ
 luke	lk06_09	b.LUK.6.9	ἔξεστι	licet	εἶπεν δὲ ὁ Ἰησοῦς πρὸς αὐτούς· ἐπερωτῶ ὑμᾶς εἰ ἔξεστιν τῷ σαββάτῳ ἀγαθοποιῆσαι ἢ κακοποιῆσαι , ψυχὴν σῶσαι ἢ ἀπολέσαι ;	ait autem ad illos Iesus interrogo vos si licet sabbato bene facere an male animam salvam facere an perdere	false	false	interrogative	interrogative	affirmative	affirmative	true	true	true	false	deontic	authority	permission			sο
 luke	lk06_09	b.LUK.6.9	ἔξεστι	licet	εἶπεν δὲ ὁ Ἰησοῦς πρὸς αὐτούς· ἐπερωτῶ ὑμᾶς εἰ ἔξεστιν τῷ σαββάτῳ ἀγαθοποιῆσαι ἢ κακοποιῆσαι , ψυχὴν σῶσαι ἢ ἀπολέσαι ;	ait autem ad illos Iesus interrogo vos si licet sabbato bene facere an male animam salvam facere an perdere	false	false	interrogative	interrogative	affirmative	affirmative	true	true	true	false	deontic	authority	permission			sο
 luke	lk06_09	b.LUK.6.9	ἔξεστι	licet	εἶπεν δὲ ὁ Ἰησοῦς πρὸς αὐτούς· ἐπερωτῶ ὑμᾶς εἰ ἔξεστιν τῷ σαββάτῳ ἀγαθοποιῆσαι ἢ κακοποιῆσαι , ψυχὴν σῶσαι ἢ ἀπολέσαι ;	ait autem ad illos Iesus interrogo vos si licet sabbato bene facere an male animam salvam facere an perdere	false	false	interrogative	interrogative	affirmative	affirmative	true	true	true	false	deontic	authority	permission			sο
 luke	lk06_09	b.LUK.6.9	ἔξεστι	licet	εἶπεν δὲ ὁ Ἰησοῦς πρὸς αὐτούς· ἐπερωτῶ ὑμᾶς εἰ ἔξεστιν τῷ σαββάτῳ ἀγαθοποιῆσαι ἢ κακοποιῆσαι , ψυχὴν σῶσαι ἢ ἀπολέσαι ;	ait autem ad illos Iesus interrogo vos si licet sabbato bene facere an male animam salvam facere an perdere	false	false	interrogative	interrogative	affirmative	affirmative	true	true	true	false	deontic	authority	permission			sο
 luke	lk06_31	b.LUK.6.31	θέλω	volo	Καὶ καθὼς θέλετε ἵνα ποιῶσιν ὑμῖν οἱ ἄνθρωποι ποιεῖτε αὐτοῖς ὁμοίως.	et prout vultis ut faciant vobis homines et vos facite illis similiter	false	false	non-interrogative	non-interrogative	affirmative	affirmative	true	true	true	false	deontic	volition				s15
 luke	lk06_39	b.LUK.6.39	δύναμαι	possum	Εἶπεν δὲ καὶ παραβολὴν αὐτοῖς· μήτι δύναται τυφλὸς τυφλὸν ὁδηγεῖν ; οὐχὶ ἀμφότεροι εἰς βόθυνον ἐμπεσοῦνται;	dicebat autem illis et similitudinem numquid potest caecus caecum ducere nonne ambo in foveam cadent	false	false	interrogative	interrogative	affirmative	affirmative	true	true	true	false	dynamic	possibility	participant-inherent		rhetoric	
 luke	lk06_42	b.LUK.6.42	δύναμαι	possum	πῶς δύνασαι λέγειν τῷ ἀδελφῷ σου · ἀδελφέ, ἄφες ἐκβάλω τὸ κάρφος τὸ ἐν τῷ ὀφθαλμῷ σου, αὐτὸς τὴν ἐν τῷ ὀφθαλμῷ σου δοκὸν οὐ βλέπων; ὑποκριτά, ἔκβαλε πρῶτον τὴν δοκὸν ἐκ τοῦ ὀφθαλμοῦ σου, καὶ τότε διαβλέψεις τὸ κάρφος τὸ ἐν τῷ ὀφθαλμῷ τοῦ ἀδελφοῦ σου ἐκβαλεῖν.	et quomodo potes dicere fratri tuo frater sine eiciam festucam de oculo tuo ipse in oculo tuo trabem non videns hypocrita eice primum trabem de oculo tuo et tunc perspicies ut educas festucam de oculo fratris tui	false	false	interrogative	interrogative	affirmative	affirmative	true	true	true	true	dynamic	possibility	participant-imposed		rhetoric	
 luke	lk09_41	b.LUK.9.40	δύναμαι	possum	καὶ ἐδεήθην τῶν μαθητῶν σου ἵνα ἐκβάλωσιν αὐτό , καὶ οὐκ ἠδυνήθησαν { ἐκβαλεῖν αὐτό } .	et rogavi discipulos tuos ut eicerent illum et non potuerunt { eicere }	false	false	non-interrogative	non-interrogative	negative	negative	true	true	true	true	dynamic	possibility	participant-imposed			sgamma
